Timestamp,Pieces [Rachmaninoff 2 (symphony)],Pieces [Tchaikovsky 5],Pieces [Scheherazade],,Pieces [Romeo and Juliet (Tchaikovsky)],Pieces [Tchaikovsky 6],Pieces [Mahler 5],Pieces [Firebird],Pieces [Sibelius 2],Pieces [Beethoven 7],Pieces [Beethoven 3]
4/29/2020 11:05:35,,,,,Second choice,Third choice,,,,First choice,
4/29/2020 14:55:07,First choice,,,,,Second choice,Third choice,,,,
4/29/2020 14:55:34,,,,,Third choice,,,First choice,Second choice,,
4/29/2020 14:56:09,,,First choice,,Second choice,,,,,,Third choice
4/29/2020 14:56:15,,,First choice,,,,Second choice,,Third choice,,
4/29/2020 14:57:02,First choice,,,,,Second choice,,,,Third choice,
4/29/2020 14:57:07,First choice,,,,,Second choice,,,,,Third choice
4/29/2020 14:59:43,,,Second choice,,,First choice,,,,,Third choice
4/29/2020 15:00:57,,,First choice,,,,,Second choice,,,Third choice
4/29/2020 15:02:27,,,,,Third choice,,,Second choice,First choice,,
4/29/2020 15:02:57,,,First choice,,Second choice,,,,,Third choice,
4/29/2020 15:03:33,Second choice,,,,,,,First choice,,,Third choice
4/29/2020 15:06:26,Third choice,,First choice,,Second choice,,,,,,
4/29/2020 15:06:31,Second choice,,,,,,,Third choice,First choice,,
4/29/2020 15:08:16,,,,,Third choice,,First choice,Second choice,,,
4/29/2020 15:08:36,,,,,,,,,First choice,Third choice,Second choice
4/29/2020 15:24:21,,Second choice,,,Third choice,,,First choice,,,
4/29/2020 15:32:18,First choice,,,,,,Second choice,,,,Third choice
4/29/2020 15:33:16,,First choice,Second choice,,Third choice,,,,,,
4/29/2020 15:44:27,,,Third choice,,Second choice,,,First choice,,,
4/29/2020 15:53:45,,,Second choice,,,First choice,Third choice,,,,
4/29/2020 16:13:55,,,,,Second choice,,,,,Third choice,First choice
4/29/2020 16:17:09,,,Second choice,,Third choice,,First choice,,,,
4/29/2020 16:19:47,,First choice,,,Third choice,,,,,Second choice,
4/29/2020 16:48:38,,,First choice,,,,Second choice,,Third choice,,
4/29/2020 16:58:07,Second choice,,First choice,,Third choice,,,,,,
4/29/2020 19:36:15,First choice,First choice,First choice,,,,,,,,
4/29/2020 21:59:21,,,,,,,Second choice,,First choice,First choice,
4/29/2020 23:35:43,,,,,Second choice,,First choice,Third choice,,,
4/30/2020 16:32:00,,,,,Third choice,,,First choice,Second choice,,
4/30/2020 20:29:22,First choice,Second choice,Third choice,,,,,,,,
5/1/2020 0:34:52,,,First choice,,,,,Third choice,Second choice,,
5/3/2020 15:55:44,,Third choice,,,,,Second choice,First choice,,,
5/3/2020 16:16:54,First choice,,,,,Third choice,Second choice,,,,
5/3/2020 16:35:01,,,,,First choice,,Third choice,,,,Second choice
5/3/2020 18:48:31,,First choice,Second choice,,,,Third choice,,,,
5/3/2020 20:00:29,,,,,Third choice,,First choice,,Second choice,,
5/3/2020 20:17:04,First choice,,,,Second choice,,,,,,Third choice
